食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
鯖魚,0.0,126.0,0.0,0.0,125.0,116.0,167.0,167.0,0.0,233.0,0.0,100.0,200.0,0.0,233.0
白口,0.0,267.0,200.0,266.0,233.0,266.0,333.0,250.0,250.0,266.0,221.0,300.0,533.0,0.0,267.0
海鰻,0.0,0.0,0.0,0.0,0.0,0.0,300.0,400.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
金線魚,0.0,267.0,267.0,350.0,250.0,333.0,420.0,250.0,300.0,0.0,300.0,300.0,500.0,320.0,453.0
黃花魚,267.0,250.0,0.0,0.0,250.0,266.0,500.0,0.0,230.0,0.0,260.0,266.0,283.0,0.0,0.0
黑鯧,0.0,300.0,300.0,266.0,220.0,266.0,250.0,417.0,300.0,333.0,285.0,300.0,467.0,0.0,333.0
草蝦,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0
厚殼蝦,0.0,250.0,167.0,266.0,183.0,200.0,250.0,200.0,233.0,200.0,0.0,0.0,233.0,0.0,0.0
里肌肉,200.0,167.0,167.0,166.0,150.0,183.0,167.0,200.0,200.0,166.0,133.0,150.0,167.0,168.0,0.0
後腿肉,166.0,150.0,150.0,150.0,133.0,150.0,167.0,167.0,150.0,133.0,116.0,133.0,167.0,152.0,0.0
五花肉,200.0,183.0,183.0,166.0,150.0,183.0,183.0,200.0,200.0,166.0,150.0,183.0,167.0,160.0,0.0
牛腱,300.0,300.0,0.0,0.0,220.0,200.0,290.0,200.0,0.0,0.0,230.0,266.0,267.0,0.0,300.0
腿肉,333.0,333.0,0.0,0.0,220.0,266.0,300.0,220.0,0.0,0.0,230.0,266.0,300.0,0.0,233.0
腩肉,300.0,300.0,0.0,0.0,233.0,266.0,275.0,230.0,0.0,0.0,250.0,266.0,250.0,0.0,283.0
肉雞,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0
土雞,280.0,200.0,200.0,200.0,166.0,200.0,217.0,220.0,200.0,200.0,183.0,166.0,183.0,192.0,200.0
仿雞,150.0,166.0,150.0,166.0,133.0,166.0,200.0,150.0,166.0,166.0,150.0,0.0,150.0,160.0,167.0
鴨子,166.0,133.0,133.0,133.0,100.0,150.0,167.0,133.0,133.0,133.0,116.0,125.0,133.0,137.0,133.0
雞,63.0,64.0,65.0,65.0,62.0,65.0,67.0,67.0,65.0,66.0,63.0,63.0,63.0,62.0,60.0
鴨,75.0,75.0,75.0,75.0,70.0,75.0,75.0,75.0,75.0,75.0,75.0,70.0,75.0,0.0,0.0
