日期,市場,價格
2014-02-15,大寮大發,
2014-02-15,橋頭市場,
2014-02-16,國民市場,
2014-02-16,鹽埕示範,
2014-02-16,新興第二,
2014-02-16,三民第二,
2014-02-16,左營第四,
2014-02-16,鼓山第三,
2014-02-16,楠梓市場,
2014-02-16,三民第一,
2014-02-16,苓雅市場,
2014-02-16,中華市場,
2014-02-16,旗山第一,
2014-02-16,鳳山第一,
2014-02-16,岡山文賢,
2014-02-16,大寮大發,
2014-02-16,橋頭市場,
2014-02-17,國民市場,166.0
2014-02-17,鹽埕示範,150.0
2014-02-17,新興第二,
2014-02-17,三民第二,150.0
2014-02-17,左營第四,133.0
2014-02-17,鼓山第三,150.0
2014-02-17,楠梓市場,150.0
2014-02-17,三民第一,
2014-02-17,苓雅市場,0.0
2014-02-17,中華市場,0.0
2014-02-17,旗山第一,
2014-02-17,鳳山第一,0.0
2014-02-17,岡山文賢,0.0
2014-02-17,大寮大發,0.0
2014-02-17,橋頭市場,167.0
2014-02-18,國民市場,166.0
2014-02-18,鹽埕示範,150.0
2014-02-18,新興第二,167.0
2014-02-18,三民第二,166.0
2014-02-18,左營第四,133.0
2014-02-18,鼓山第三,150.0
2014-02-18,楠梓市場,13.0
2014-02-18,三民第一,167.0
2014-02-18,苓雅市場,166.0
2014-02-18,中華市場,166.0
2014-02-18,旗山第一,133.0
2014-02-18,鳳山第一,150.0
2014-02-18,岡山文賢,167.0
2014-02-18,大寮大發,168.0
2014-02-18,橋頭市場,167.0
2014-02-19,國民市場,166.0
2014-02-19,鹽埕示範,150.0
2014-02-19,新興第二,167.0
2014-02-19,三民第二,166.0
2014-02-19,左營第四,133.0
2014-02-19,鼓山第三,150.0
2014-02-19,楠梓市場,13.0
2014-02-19,三民第一,167.0
2014-02-19,苓雅市場,166.0
2014-02-19,中華市場,166.0
2014-02-19,旗山第一,133.0
2014-02-19,鳳山第一,150.0
2014-02-19,岡山文賢,167.0
2014-02-19,大寮大發,168.0
2014-02-19,橋頭市場,167.0
2014-02-20,國民市場,166.0
2014-02-20,鹽埕示範,150.0
2014-02-20,新興第二,167.0
2014-02-20,三民第二,166.0
2014-02-20,左營第四,133.0
2014-02-20,鼓山第三,150.0
2014-02-20,楠梓市場,200.0
2014-02-20,三民第一,167.0
2014-02-20,苓雅市場,166.0
2014-02-20,中華市場,166.0
2014-02-20,旗山第一,133.0
2014-02-20,鳳山第一,150.0
2014-02-20,岡山文賢,167.0
2014-02-20,大寮大發,168.0
2014-02-20,橋頭市場,167.0
2014-02-21,國民市場,166.0
2014-02-21,鹽埕示範,150.0
2014-02-21,新興第二,167.0
2014-02-21,三民第二,166.0
2014-02-21,左營第四,133.0
2014-02-21,鼓山第三,150.0
2014-02-21,楠梓市場,200.0
2014-02-21,三民第一,167.0
2014-02-21,苓雅市場,166.0
2014-02-21,中華市場,166.0
2014-02-21,旗山第一,133.0
2014-02-21,鳳山第一,150.0
2014-02-21,岡山文賢,167.0
2014-02-21,大寮大發,168.0
2014-02-21,橋頭市場,167.0
2014-02-22,國民市場,
2014-02-22,鹽埕示範,
2014-02-22,新興第二,
2014-02-22,三民第二,
2014-02-22,左營第四,
2014-02-22,鼓山第三,
2014-02-22,楠梓市場,
2014-02-22,三民第一,
2014-02-22,苓雅市場,
2014-02-22,中華市場,
2014-02-22,旗山第一,
2014-02-22,鳳山第一,
2014-02-22,岡山文賢,
2014-02-22,大寮大發,
2014-02-22,橋頭市場,
2014-02-23,國民市場,
2014-02-23,鹽埕示範,
2014-02-23,新興第二,
2014-02-23,三民第二,
2014-02-23,左營第四,
2014-02-23,鼓山第三,
2014-02-23,楠梓市場,
2014-02-23,三民第一,
2014-02-23,苓雅市場,
2014-02-23,中華市場,
2014-02-23,旗山第一,
2014-02-23,鳳山第一,
2014-02-23,岡山文賢,
2014-02-23,大寮大發,
